CaptureID,skull,weight,wing,tail,tarsus,hallux,claw,gape,beak,total
591,32,13.09,72,61,19.7,8.7,6,13.8,11.6,146
593,30.1,13.18,67,56,20.7,8.8,5.1,14.6,10.6,141
599,31.2,14.52,66,57,19.9,9.6,5.7,14.8,12.5,141
603,32.4,15.3,67,57,19.9,9.6,5.7,15.1,11.2,146
605,31.3,14.6,67,54,19.8,8.7,6,14.9,13.9,142
620,31.7,14.1,66,55,20.2,10.5,6,14.8,12.7,131
621,31.4,14.55,66,51,21.7,7,5.8,13.5,12.2,130
622,31.7,13.69,66,55,19.8,8.2,5.6,15,12.4,127
623,31.5,15.3,64,53,19.4,9.2,5.1,15.2,12.3,139
624,31.4,15.08,68,56,20.8,8.1,5.5,15.6,12.4,136
625,31.2,14.2,68,56,21.5,7.4,6.2,14.9,11.1,131
627,31.6,15.3,75,62,20.8,9.1,5.8,16.3,12.1,143
629,32.7,14.95,70,61,20.1,9.1,6.7,16.4,13.9,136
631,31.3,14.36,66,50,20.6,9.6,5.7,14.1,11.5,138
632,32.1,14.36,76,62,19.6,9.1,5.7,16,12.8,134
633,29,12.15,68,58,20.2,8.7,5.3,14.1,11.5,136
634,31.9,13.43,76,56,20.4,9.7,5.7,15.3,11.4,140
635,30.9,12.48,70,56,19.9,8.8,5.3,14.5,11.1,143
636,32.1,15.33,70,56,21.7,9.7,6.3,15.1,11.5,148
637,31.2,15.17,67,54,20.9,9,6.2,14.5,11.6,139
638,33.2,16.47,69,53,21.3,10.3,6.5,15.3,12.2,141
639,31.5,11.24,68,53,20.1,8.2,5,14,10.8,136
640,32.2,14,67,53,20,9.8,6,15.6,12.9,138
641,31,14.5,67,54,20.6,9.3,5.7,14.3,11.6,139
642,32.6,15.5,65,57,20.1,9.9,6.2,14.8,11.8,144
643,32.6,13.88,68,53,20.5,9.2,5.9,14.8,12.6,144
644,32.4,14.24,68,55,20.7,9.2,6.2,15.2,12.7,145
645,30,12.48,64,57,19.6,8.8,5,13.9,10.8,137
647,32.1,15.22,70,55,20.2,9.5,6,15.5,12.6,140
648,32.3,14.6,66,57,20.3,9.2,5.9,15.7,13,143
649,31.7,16.02,64,55,20.9,9.5,5.7,15.1,11.9,143
650,32.4,14.95,65,56,20.3,9.3,6,15,12.3,139
652,29.4,13.85,68,54,20.2,8.9,5,14,10.3,138
653,32,14.67,65,58,20.8,9.5,5.9,15.1,12.3,145
654,30,13.6,64,55,20,9.1,5.7,14.5,12.6,141
656,30.1,12.16,68,56,19.7,8.4,4.8,14.5,11,141
665,32.6,15.56,75,59,21.3,10,6.4,16.6,12.9,146
666,32.1,13.91,74,59,20.7,9.8,6.1,16.1,12.7,145
667,29.1,11.33,68,55,20.4,9.3,6.3,14.1,11.4,136
669,32.5,14.19,76,58,21.7,10.3,6.1,16.1,13,143
671,31.8,14.45,78,68.5,21,9.4,5.8,16,12.6,154
