Spp,CaptureID
WNH,591
WNH,593
BHH,599
BHH,603
BHH,605
BHH,620
BHH,621
BHH,622
BHH,623
BHH,624
BHH,625
WNH,627
BHH,629
BHH,631
WNH,632
WNH,633
WNH,634
WNH,635
BHH,636
BHH,637
BHH,638
WNH,639
BHH,640
BHH,641
BHH,642
BHH,643
BHH,644
WNH,645
BHH,647
BHH,648
BHH,649
BHH,650
WNH,652
BHH,653
BHH,654
WNH,656
WNH,665
WNH,666
WNH,667
WNH,669
WNH,671
BHH,673
BHH,676
BHH,677
BHH,678
WNH,797
WNH,798
WNH,799
WNH,801
WNH,802
WNH,803
WNH,804
WNH,806
BHH,808
BHH,810
BHH,811
WNH,813
BHH,814
BHH,815
BHH,816
WNH,817
CRH,821
CRH,822
CRH,823
BHH,824
NHH,859
NHH,860
NHH,863
NHH,909
NHH,910
NHH,911
NHH,913
NHH,914
NHH,915
NHH,916
NHH,917
NHH,918
NHH,920
NHH,922
NHH,923
NHH,924
NHH,925
NHH,929
NHH,932
NHH,934
WPH,936
BHH,937
BHH,938
BHH,939
CRH,950
BHH,951
CRH,952
BHH,955
BHH,956
BHH,958
BHH,959
BHH,960
BHH,962
CRH,963
WNH,964
WNH,1026
NHH,1041
BHH,1042
BHH,1047
WPH,1078
WPH,1080
NHH,1082
NHH,1083
NHH,1084
NHH,1085
NHH,1086
NHH,1087
NHH,1088
NHH,1089
NHH,1090
NHH,1108
WPH,1110
NHH,1111
WPH,1112
NHH,1122
NHH,1123
NHH,1124
NHH,1125
NHH,1126
NHH,1127
NHH,1128
NHH,1132
CRH,1134
YFH,1135
YFH,1136
WNH,1137
WNH,1138
WNH,1139
WNH,1140
CRH,1141
WNH,1143
CRH,1144
CRH,1145
CRH,1146
CRH,1147
CRH,1148
CRH,1149
CRH,1151
WNH,1152
CRH,1153
CRH,1154
WNH,1155
BHH,1156
WNH,1159
NHH,1161
NHH,1162
CRH,1163
NHH,1165
NHH,1166
NHH,1167
NHH,1170
NHH,1171
NHH,1175
NHH,1176
NHH,1180
NHH,1181
NHH,1183
NHH,1185
ESP,1214
WNH,1218
WNH,1219
CRH,1220
CRH,1221
CRH,1224
CRH,1225
CRH,1226
WNH,1229
WNH,1230
CRH,1231
WNH,1234
WNH,1235
BHH,1237
CRH,1238
BHH,1239
BHH,1240
BHH,1241
BHH,1243
BHH,1244
NHH,1245
NHH,1246
NHH,1247
NHH,1248
NHH,1249
NHH,1250
NHH,1251
NHH,1252
NHH,1253
NHH,1254
NHH,1259
NHH,1262
NHH,1263
NHH,1264
NHH,1265
NHH,1266
SIH,1267
NHH,1268
NHH,1269
NHH,1270
NHH,1271
ESP,1273
ESP,1287
ESP,1288
ESP,1294
NHH,1304
NHH,1305
NHH,1306
NHH,1307
NHH,1308
NHH,1309
NHH,1310
NHH,1311
NHH,1312
NHH,1313
NHH,1316
NHH,1317
NHH,1318
NHH,1319
NHH,1320
NHH,1321
NHH,1322
NHH,1323
NHH,1328
CRH,1329
CRH,1331
CRH,1332
CRH,1333
CRH,1334
CRH,1335
CRH,1336
WNH,1337
CRH,1338
CRH,1339
CRH,1340
WNH,1345
WNH,1346
BHH,1347
WNH,1348
WNH,1349
BHH,1350
BHH,1351
WNH,1352
WNH,1353
WNH,1354
WNH,1355
WNH,1356
ESP,1367
ESP,1370
ESP,1372
ESP,1373
ESP,1379
ESP,1387
WNH,1389
BHH,1390
BHH,1393
NHH,1394
NHH,1395
ESP,1398
NHH,1403
WNH,1407
NHH,1412
WNH,1413
WNH,1414
BHH,1415
BHH,1416
BHH,1417
WNH,1418
CRH,1419
CRH,1420
BHH,1425
BHH,1426
BHH,1427
WPH,1430
BHH,1432
WNH,1433
BHH,1434
WPH,1438
WPH,1440
ESP,1444
ESP,1458
ESP,1460
ESP,1461
ESP,1463
NHH,1469
NHH,1470
NHH,1471
NHH,1472
NHH,1473
NHH,1474
NHH,1475
NHH,1476
NHH,1477
NHH,1478
NHH,1479
NHH,1480
NHH,1482
NHH,1483
NHH,1484
NHH,1485
NHH,1486
NHH,1487
NHH,1488
NHH,1489
NHH,1490
NHH,1491
NHH,1492
NHH,1493
NHH,1494
NHH,1495
NHH,1496
NHH,1498
NHH,1499
NHH,1500
NHH,1501
NHH,1504
NHH,1505
NHH,1506
NHH,1514
NHH,1521
BHH,1522
BHH,1523
BHH,1524
BHH,1525
BHH,1526
CRH,1527
NHH,1563
WPH,1564
WPH,1571
BHH,1572
NHH,1580
NHH,1584
WPH,1587
BHH,1588
BHH,1589
ESP,1600
ESP,1601
NHH,1622
NHH,1623
NHH,1626
NHH,1628
NHH,1629
NHH,1630
NHH,1631
NHH,1632
NHH,1633
NHH,1634
NHH,1635
NHH,1636
NHH,1637
NHH,1638
NHH,1639
NHH,1640
NHH,1646
NHH,1647
NHH,1648
NHH,1649
NHH,1650
ESP,1657
WNH,1683
YFH,1684
BHH,1691
CRH,1692
YFH,1693
WNH,1694
WPH,1696
WNH,1697
CRH,1698
BHH,1699
BHH,1700
BHH,1701
BHH,1702
BHH,1703
BHH,1715
NHH,1736
WPH,1740
WPH,1741
NHH,1745
NHH,1747
NHH,1750
NHH,1752
NHH,1754
BCH,1755
WNH,1791
WNH,1792
BHH,1793
BHH,1794
